work_package,split_name,split_sha256,git_sha,run_id,arch,recipe_actual,variant,provenance_tag,ckpt_sha256,condition_id,stage,n_images,norm_p50,norm_p90,norm_p99,norm_p999,norm_max,mad_thr,count_fixed_canon,count_fixed_cal,count_mad,cos_all,cos_nosink_mad,eff_rank
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,native,s11_out,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,11.4605,15.1385,0.3427894118,0.3969170614,95.80499099
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,native,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.0037,0.280474527,0.2804797374,118.0717486
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.25,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,10.2099,16.3621,0.3265215752,0.3614489676,98.11181289
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.25,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.0031,0.2755258827,0.2755315833,118.020679
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.50,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,10.3046,16.292,0.3365507066,0.3710941696,97.94464762
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.50,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.0037,0.280474527,0.2804797374,118.0717486
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.75,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,10.5211,16.1598,0.3582546181,0.3930786464,97.27292816
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_0.75,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.0017,0.299810705,0.2998125862,117.3456509
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_1.00,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,10.8212,15.9574,0.3889076561,0.4244263475,96.13940889
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,term_1.00,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.0014,0.3305188556,0.3305207117,115.9272326
