run_id,arch,recipe_actual,variant,condition_id,stage,transform,descriptor,n_images,n_images_with_exceedance,mean_n_shared_exc,mean_n_shared_nonexc,acc_exc,acc_exc_ci_lo,acc_exc_ci_hi,acc_nonexc,acc_nonexc_ci_lo,acc_nonexc_ci_hi,delta_exc_minus_nonexc,delta_ci_lo,delta_ci_hi,chance_exact,endpoint_class
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T0,l2,2000,2000,14.079,181.921,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T0,centred_l2,2000,2000,14.079,181.921,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T0,l2,2000,0,0,196,MISSING,MISSING,MISSING,1,1,1,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T0,centred_l2,2000,0,0,196,MISSING,MISSING,MISSING,1,1,1,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T1,l2,2000,2000,14.517,181.483,0.4298628666,0.4219988779,0.4376815206,0.9295604165,0.9274624459,0.9315719591,-0.4996975498,-0.5070063352,-0.4922125924,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T1,centred_l2,2000,2000,14.517,181.483,0.4295206459,0.4216302334,0.437407421,0.9297373876,0.9276693483,0.9317065684,-0.5002167417,-0.507576103,-0.4927543792,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T1,l2,2000,2000,14.079,181.921,0.4259598496,0.418172079,0.433778518,0.9251626799,0.9230472507,0.9272132609,-0.4992028302,-0.5065061222,-0.4918188157,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T1,centred_l2,2000,2000,14.079,181.921,0.4163603544,0.4086829685,0.4242655431,0.9243510051,0.9222305635,0.9264008333,-0.5079906507,-0.5152621959,-0.5006654675,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T1,l2,2000,0,0,196,MISSING,MISSING,MISSING,0.8955280612,0.8932473852,0.8977526148,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T1,centred_l2,2000,0,0,196,MISSING,MISSING,MISSING,0.8951632653,0.8928928571,0.8973878827,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T2,l2,2000,2000,14.1105,167.8895,0.521357302,0.5111910797,0.5316382857,0.9372281446,0.9347072008,0.9397041907,-0.4158708427,-0.4247856197,-0.4067742009,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T2,centred_l2,2000,2000,14.1105,167.8895,0.5196398251,0.509517009,0.5300893835,0.9376236461,0.9350927668,0.9401106513,-0.417983821,-0.426912798,-0.4088902382,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T2,l2,2000,2000,13.5,168.5,0.5097354656,0.4995842224,0.5199565332,0.9348159803,0.9323178193,0.9372597009,-0.4250805147,-0.4342110557,-0.4160489129,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T2,centred_l2,2000,2000,13.5,168.5,0.4989882342,0.4888282044,0.5090881355,0.9342692688,0.9317458333,0.9367460069,-0.4352810345,-0.4443420819,-0.4262973976,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T2,l2,2000,0,0,182,MISSING,MISSING,MISSING,0.9080467033,0.9049861951,0.9110138049,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T2,centred_l2,2000,0,0,182,MISSING,MISSING,MISSING,0.9076950549,0.9046290522,0.9106620879,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T3,l2,2000,1999,12.1245,155.8755,0.476916061,0.4670980987,0.486750048,0.9263517914,0.9238084875,0.9288559449,-0.4494495084,-0.4583342641,-0.4405676521,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T3,centred_l2,2000,1999,12.1245,155.8755,0.4768605873,0.4670600156,0.4866435428,0.9270759883,0.9245456876,0.9295624904,-0.4502325189,-0.4591840535,-0.4413613991,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T3,l2,2000,2000,11.6935,156.3065,0.4683616374,0.4585440697,0.4781727847,0.9225273092,0.919975226,0.9250337363,-0.4541656718,-0.4629813061,-0.4452318992,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,hist,T3,centred_l2,2000,2000,11.6935,156.3065,0.4590189712,0.4492723893,0.4687132135,0.922529327,0.9199693364,0.9250202743,-0.4635103558,-0.4722741424,-0.4546519867,0.005102040816,secondary
