scope,run_id,arch,recipe_actual,variant,stage,transform,descriptor,diagnostic,n,spearman_rho,mean_acc_exact,mean_diagnostic,endpoint_class
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T3,l2,count_mad_s11,2000,-0.1303305117,0.8105833333,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T3,l2,count_mad_stage,2000,-0.1303305117,0.8105833333,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T3,centred_l2,count_mad_s11,2000,-0.1319828484,0.8087380952,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T3,centred_l2,count_mad_stage,2000,-0.1319828484,0.8087380952,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T3,l2,count_mad_s11,2000,-0.1218413114,0.8026607143,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T3,l2,count_mad_stage,2000,-0.3648416703,0.8026607143,9.8995,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T3,centred_l2,count_mad_s11,2000,-0.1379487791,0.8049315476,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T3,centred_l2,count_mad_stage,2000,-0.3676594024,0.8049315476,9.8995,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T3,l2,count_mad_s11,2000,-0.1358101804,0.8119404762,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T3,l2,count_mad_stage,2000,-0.01596038061,0.8119404762,0.83,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T3,centred_l2,count_mad_s11,2000,-0.1400691199,0.8147410714,14.256,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T3,centred_l2,count_mad_stage,2000,-0.01044061524,0.8147410714,0.83,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T0,l2,count_mad_s11,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T0,l2,count_mad_stage,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T0,centred_l2,count_mad_s11,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T0,centred_l2,count_mad_stage,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T0,l2,count_mad_s11,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T0,l2,count_mad_stage,2000,MISSING,1,14.079,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T0,centred_l2,count_mad_s11,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T0,centred_l2,count_mad_stage,2000,MISSING,1,14.079,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,l2,count_mad_s11,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,l2,count_mad_stage,2000,MISSING,1,0,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_s11,2000,MISSING,1,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_stage,2000,MISSING,1,0,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T1,l2,count_mad_s11,2000,-0.3261002428,0.8928979592,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T1,l2,count_mad_stage,2000,-0.3261002428,0.8928979592,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T1,centred_l2,count_mad_s11,2000,-0.3237750229,0.8930943878,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T1,centred_l2,count_mad_stage,2000,-0.3237750229,0.8930943878,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T1,l2,count_mad_s11,2000,-0.3269306911,0.8894821429,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T1,l2,count_mad_stage,2000,-0.3622079921,0.8894821429,14.079,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T1,centred_l2,count_mad_s11,2000,-0.3259043608,0.8880739796,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T1,centred_l2,count_mad_stage,2000,-0.3603264252,0.8880739796,14.079,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T1,l2,count_mad_s11,2000,-0.3379263919,0.8955280612,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T1,l2,count_mad_stage,2000,MISSING,0.8955280612,0,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T1,centred_l2,count_mad_s11,2000,-0.3354497951,0.8951632653,14.517,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T1,centred_l2,count_mad_stage,2000,MISSING,0.8951632653,0,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T2,l2,count_mad_s11,2000,-0.3151413945,0.9050824176,14.829,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T2,l2,count_mad_stage,2000,-0.3151413945,0.9050824176,14.829,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T2,centred_l2,count_mad_s11,2000,-0.3123511543,0.9053571429,14.829,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T2,centred_l2,count_mad_stage,2000,-0.3123511543,0.9053571429,14.829,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T2,l2,count_mad_s11,2000,-0.3204082367,0.9031016484,14.829,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T2,l2,count_mad_stage,2000,-0.3845911375,0.9031016484,14.1215,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T2,centred_l2,count_mad_s11,2000,-0.3187908996,0.9018653846,14.829,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T2,centred_l2,count_mad_stage,2000,-0.3848101616,0.9018653846,14.1215,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T2,l2,count_mad_s11,2000,-0.3108274029,0.9080467033,14.829,secondary
