run_id,arch,recipe_actual,variant,provenance_tag,condition_id,stage,transform,descriptor,n_images,n_shared,grid,chance_exact,chance_1,acc_exact_mean,acc_exact_ci_lo,acc_exact_ci_hi,acc_1_mean,acc_1_ci_lo,acc_1_ci_hi,mean_nn_sim,acc_exact_over_chance,endpoint_class
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8991326531,0.897119898,0.901125,0.9312066327,0.9295969388,0.9327577168,0.9367596954,176.23,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8961632653,0.8940866071,0.8981760842,0.9287040816,0.9270611607,0.9302857143,0.9615244347,175.648,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8947423469,0.8926683673,0.8967704719,0.9268341837,0.9251811224,0.9284030612,0.9326203284,175.3695,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.9014591837,0.8994489796,0.9034184311,0.933380102,0.9317984056,0.9349184311,0.9470538431,176.686,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.9007602041,0.8987653061,0.9027193878,0.9325382653,0.930946301,0.9340536352,0.9219622931,176.549,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.9039148352,0.9009587912,0.9067583104,0.9395521978,0.9379010302,0.9412308379,0.9756258118,177.1673077,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.9046483516,0.9017168269,0.9074891484,0.9406758242,0.9390631181,0.9423324176,0.9643240316,177.3110769,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.9023626374,0.8994175137,0.9052171016,0.9382857143,0.9366263736,0.9399972527,0.9762774453,176.8630769,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.9011071429,0.8981756181,0.9039835852,0.9369615385,0.9353076236,0.9386510989,0.9621725577,176.617,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.9065247253,0.9036180632,0.9093380495,0.9424230769,0.940837706,0.944043956,0.9671991083,177.6788462,secondary
