run_id,arch,recipe_actual,variant,stage,transform,descriptor,n_images_paired,acc_native,acc_term_1.00,delta,ci_lo,ci_hi,max_abs_s11_diff_vs_native,chance_exact,endpoint_class
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T1,centred_l2,2000,0.9150459184,0.9125816327,-0.002464285714,-0.002704081633,-0.002229591837,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T1,l2,2000,0.9143392857,0.9116403061,-0.002698979592,-0.002954081633,-0.002448979592,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T2,centred_l2,2000,0.920032967,0.9184368132,-0.001596153846,-0.001791208791,-0.001403846154,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T2,l2,2000,0.9193598901,0.9176593407,-0.001700549451,-0.001901098901,-0.001502747253,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T3,centred_l2,2000,0.9029315476,0.9009821429,-0.001949404762,-0.002175595238,-0.001729166667,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T3,l2,2000,0.9021815476,0.9000029762,-0.002178571429,-0.002425595238,-0.00193452381,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T1,centred_l2,2000,0.8665178571,0.862494898,-0.004022959184,-0.004331632653,-0.003719387755,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T1,l2,2000,0.8669183673,0.8629770408,-0.003941326531,-0.004265306122,-0.003617346939,0,0.005102040816,secondary
