run_id,arch,recipe_actual,scope,stage,condition_id,layer,diagnostic,n_images,mean_original,mean_condition,mean_delta,ci_lo,ci_hi,excludes_zero,tau_cal_value,bootstrap_resamples,bootstrap_seed,split_sha256,ckpt_sha256,git_sha
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L8,8,count_mad,10000,15.4031,15.4183,0.0152,0.0055975,0.0245,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L8,8,cos_all,10000,0.3394070392,0.3393552756,-5.176364183e-05,-5.704546981e-05,-4.647779174e-05,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L8,8,cos_nosink_mad,10000,0.3907964116,0.3907798196,-1.659194827e-05,-4.900888562e-05,1.495887991e-05,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L8,8,eff_rank,10000,101.2150905,101.2213653,0.006274711227,0.005610607023,0.006942487478,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L7,7,count_fixed_cal,10000,0.8028,0.8121,0.0093,0.0045,0.0142025,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L7,7,count_mad,10000,1.6336,1.6067,-0.0269,-0.0357,-0.0178975,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L7,7,cos_all,10000,0.2061405238,0.2064299259,0.000289402087,0.000283363734,0.000295451005,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L7,7,cos_nosink_mad,10000,0.2076933975,0.2079324223,0.0002390248455,0.0002256623805,0.0002523693588,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L7,7,eff_rank,10000,124.9097951,124.8826944,-0.02710070763,-0.02826268992,-0.02593883785,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L8,8,count_fixed_cal,10000,0.8028,0.7966,-0.0062,-0.008,-0.0043,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L8,8,count_mad,10000,1.6336,1.629,-0.0046,-0.0095,0.0003,0,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L8,8,cos_all,10000,0.2061405238,0.2061738921,3.336825445e-05,3.17122538e-05,3.506495129e-05,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L8,8,cos_nosink_mad,10000,0.2076933975,0.2077206353,2.72377789e-05,2.060835846e-05,3.373904318e-05,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s1,vit_small,nomix,exploratory,s11_out,mean_L8,8,eff_rank,10000,124.9097951,124.9185047,0.008709622192,0.008440629177,0.008976356487,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,88f72869bae5882f6b8c0791c69ffea51ae55247276106e60d817f27e2a646ce,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L7,7,count_fixed_cal,10000,0.7111,0.7183,0.0072,0.0032,0.0112,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L7,7,count_mad,10000,2.5919,2.5682,-0.0237,-0.0359,-0.0121,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L7,7,cos_all,10000,0.1964940681,0.1967167439,0.0002226758406,0.0002172804054,0.0002280307188,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L7,7,cos_nosink_mad,10000,0.1998182282,0.199995369,0.0001771407165,0.0001573461081,0.0001958365357,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L7,7,eff_rank,10000,126.6114842,126.6035398,-0.007944398117,-0.009033561878,-0.006866610012,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L8,8,count_fixed_cal,10000,0.7111,0.7098,-0.0013,-0.0027,0.0001,0,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L8,8,count_mad,10000,2.5919,2.587,-0.0049,-0.0106,0.0008,0,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L8,8,cos_all,10000,0.1964940681,0.1964967924,2.724310011e-06,6.6964522e-07,4.827739038e-06,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L8,8,cos_nosink_mad,10000,0.1998182282,0.1998168593,-1.368983835e-06,-1.02490798e-05,7.246054243e-06,0,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_nomix_saga_s2,vit_small,nomix,exploratory,s11_out,mean_L8,8,eff_rank,10000,126.6114842,126.615792,0.0043078228,0.004062867613,0.004552728605,1,19.93828487,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,68d64007a4bcae2335cf7ead1fe698e1df73e48ef538f9727c46ddc186ffd5ab,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L7,7,count_fixed_cal,10000,5.098,5.0981,0.0001,0,0.0003,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L7,7,count_mad,10000,11.9571,11.9646,0.0075,-0.0008,0.0158,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L7,7,cos_all,10000,0.3438620555,0.3439195518,5.749633312e-05,5.450704694e-05,6.04960705e-05,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L7,7,cos_nosink_mad,10000,0.3696304136,0.3697096164,7.920272201e-05,6.204549894e-05,9.583205596e-05,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L7,7,eff_rank,10000,79.81363837,79.81400921,0.0003708482742,0.0001348148537,0.0006118828678,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L8,8,count_fixed_cal,10000,5.098,5.0981,0.0001,0,0.0003,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L8,8,count_mad,10000,11.9571,11.9533,-0.0038,-0.0134,0.0054025,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L8,8,cos_all,10000,0.3438620555,0.34388494,2.288454622e-05,2.056836046e-05,2.517643135e-05,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L8,8,cos_nosink_mad,10000,0.3696304136,0.3696472048,1.67911604e-05,-1.931902133e-06,3.535057798e-05,0,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_base_nomixdir_saga,vit_base,mixup,exploratory,s11_out,mean_L8,8,eff_rank,10000,79.81363837,79.80958416,-0.004054203796,-0.004208405743,-0.003901313334,1,96.32040787,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,legacy,s11_out,mean_L7,7,count_fixed_cal,10000,7.527,7.5399,0.0129,0.0087,0.0171,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,legacy,s11_out,mean_L7,7,count_mad,10000,13.9509,13.9634,0.0125,0.0013,0.0233,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e9bc99596db9244061bdef4c2b51a387a3eed7af
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,legacy,s11_out,mean_L7,7,cos_all,10000,0.3088382922,0.3088388456,5.534768105e-07,-3.803127632e-06,4.814460091e-06,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e9bc99596db9244061bdef4c2b51a387a3eed7af
