run_id,arch,recipe_actual,variant,scope,split_name,split_sha256,permutations_sha256,condition_id,family,layer,index,n_images,mean_delta_nll,ci_lo,ci_hi,excludes_zero,delta_top1_points,frac_delta_nll_positive,mean_delta_update_norm,median_delta_update_norm,max_abs_logit_diff_vs_native,bit_identical_to_original,bootstrap_resamples,bootstrap_seed,ckpt_sha256,git_sha
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm5_L7,perm,7,5,10000,0.0002782435209,2.367105497e-05,0.0005236525456,1,-0.02,0.4953,4.501665844,4.43201375,0.2978739738,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm5_L8,perm,8,5,10000,-9.350525588e-05,-0.000202446979,1.594756152e-05,0,0,0.4649,2.247975184,2.191866755,0.1114218235,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm6_L7,perm,7,6,10000,0.0001969759025,-5.098145503e-05,0.0004431539958,0,-0.04,0.4923,4.428703991,4.361592293,0.2298583984,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm6_L8,perm,8,6,10000,-8.979948908e-05,-0.0001962505151,1.75695551e-05,0,-0.01,0.4631,2.244248183,2.181672812,0.1066193581,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm7_L7,perm,7,7,10000,0.0002444832899,-6.637272759e-05,0.0005475642425,0,-0.02,0.4931,4.793888281,4.710831881,0.3535809517,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm7_L8,perm,8,7,10000,-8.175550811e-05,-0.0001937523275,3.129351195e-05,0,-0.01,0.4632,2.283737677,2.223762274,0.1110897064,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm8_L7,perm,7,8,10000,8.701906428e-05,-0.000181430532,0.0003530434597,0,-0.03,0.4852,4.588657813,4.516317844,0.2333850861,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm8_L8,perm,8,8,10000,-8.166973405e-05,-0.0001966210893,3.146313932e-05,0,-0.03,0.4602,2.295986955,2.234525919,0.1433153152,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm9_L7,perm,7,9,10000,0.0001787667792,-6.208359051e-05,0.0004208387935,0,-0.01,0.4896,4.408916918,4.344623089,0.2833161354,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,exploratory,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,75149f36329e480e192e23a25ac39c88b9a77d6b230ad40938d043525ddfa460,perm9_L8,perm,8,9,10000,-9.664075822e-05,-0.0002075257226,1.373171872e-05,0,0,0.4644,2.255686394,2.199540257,0.1094236374,0,10000,0,a4e0e0ccd3b4cd4d40b9f46417d602d8eed4913a29b36f5b3bce78e1dfe77229,e9bc99596db9244061bdef4c2b51a387a3eed7af
