run_id,arch,recipe_actual,variant,scope,split_name,split_sha256,masks_sha256,condition_id,role,layer,epsilon,control_kind,control_index,mask_id,n_masked_coords,n_images,theta_nats,ci_lo,ci_hi,excludes_zero,delta_top1_points,frac_theta_positive,mean_injected_norm,mean_energy_rel_error,max_energy_rel_error,energy_within_tolerance,n_zero_norm_images,max_abs_logit_diff_vs_native,bootstrap_resamples,bootstrap_seed,ckpt_sha256,git_sha
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl5_e10m_L8,control,8,10,energy_matched,5,K5_L8,16,10000,-6.445068726e-05,-0.0001893784085,6.357844249e-05,0,0,0.4226,1.420556753,2.41731154e-08,1.764912429e-07,1,0,0.2535707951,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl5_e25m_L7,control,7,25,energy_matched,5,K5_L7,16,10000,-0.0002228860276,-0.0005807350627,0.0001349073373,0,-0.03,0.405,3.701862891,2.820603407e-08,2.291463371e-07,1,0,0.8660626411,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl5_e25m_L8,control,8,25,energy_matched,5,K5_L8,16,10000,-0.0001045371332,-0.0004210762017,0.0002147105437,0,-0.04,0.4206,3.551391821,2.728015179e-08,2.023944682e-07,1,0,0.6602215767,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl6_e10f_L7,control,7,10,fixed_epsilon,6,K6_L7,16,10000,-8.438623557e-05,-0.0002179423446,4.807728434e-05,0,-0.01,0.4013,1.476996748,MISSING,MISSING,MISSING,0,0.3203048706,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl6_e10f_L8,control,8,10,fixed_epsilon,6,K6_L8,16,10000,-8.398052948e-05,-0.0001971975362,2.807935093e-05,0,-0.02,0.4143,1.437992895,MISSING,MISSING,MISSING,0,0.2052388191,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl6_e10m_L7,control,7,10,energy_matched,6,K6_L7,16,10000,-8.655153476e-05,-0.0002205785884,4.571697895e-05,0,-0.01,0.4013,1.480745181,2.45525353e-08,1.788586084e-07,1,0,0.3335084915,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl6_e10m_L8,control,8,10,energy_matched,6,K6_L8,16,10000,-8.665762488e-05,-0.0001985085865,2.431165892e-05,0,-0.02,0.4142,1.420556754,2.404358949e-08,1.676830776e-07,1,0,0.188097477,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl6_e25m_L7,control,7,25,energy_matched,6,K6_L7,16,10000,-0.0001777333013,-0.000518978403,0.0001570876433,0,0.03,0.4,3.701862889,2.920750205e-08,2.154665092e-07,1,0,0.8378810883,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl6_e25m_L8,control,8,25,energy_matched,6,K6_L8,16,10000,-0.0001843637697,-0.0004626693275,9.138940843e-05,0,-0.02,0.4154,3.551391823,2.770982117e-08,2.324173919e-07,1,0,0.4609696865,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl7_e10f_L7,control,7,10,fixed_epsilon,7,K7_L7,16,10000,-0.000151199792,-0.0002913168057,-1.155949475e-05,1,-0.03,0.4062,1.476694917,MISSING,MISSING,MISSING,0,0.2216225863,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl7_e10f_L8,control,8,10,fixed_epsilon,7,K7_L8,16,10000,-0.0001127946611,-0.0002343680834,7.427886131e-06,0,0,0.4128,1.438938255,MISSING,MISSING,MISSING,0,0.3129060268,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl7_e10m_L7,control,7,10,energy_matched,7,K7_L7,16,10000,-0.0001507837318,-0.0002901056584,-1.164091001e-05,1,-0.02,0.4061,1.480745182,2.377125261e-08,1.770553134e-07,1,0,0.2233377695,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
