arch,recipe,variant,block,cls_norm_ratio,cls_attn_share,ckpt_sha256
vit_small,mixup,baseline,6,0.6462568846702575,0.025193815687298775,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,7,0.5777979433059692,0.048051664280891415,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,8,0.5867019596099854,0.017402722215652467,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,9,0.5108912714004517,0.011733778339624405,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,10,0.6419590494155883,0.039951738381385805,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,11,0.6298720848083497,0.2685458028793335,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,registers,0,0.8158429019927979,0.018277216348052024,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,1,1.0411427053451539,0.018717117887735366,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,2,1.0688597276687621,0.006418655802309513,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,3,1.0740400491714477,0.012915717454254627,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,4,0.9508429452896118,0.0063710681267082694,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,5,0.7971305669784546,0.01717269752621651,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,6,0.6527676931381226,0.021858990800380708,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,7,0.6197285167694092,0.006462591306120157,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,8,0.5641931457519531,0.012389739221334458,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,9,0.5446782542228699,0.014478701531887055,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,10,0.6784465606689453,0.061851681917905806,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,registers,11,0.6606013844490052,0.12307664189338684,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77
vit_small,mixup,saga,0,1.258752836418152,0.32379331679344175,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,1,1.4047329835891724,0.15280921099185943,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,2,1.475131196975708,0.010648735927045344,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,3,1.6185929567337036,0.09164806610345841,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,4,1.5618100803375243,0.09344395357370376,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,5,1.2469882652282716,0.1251892415523529,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,6,1.0018096817016602,0.11296615660190583,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,7,0.8081925477027893,0.05628178772330284,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,8,0.7065506989479065,0.04413087794780731,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,9,0.6009593971252442,0.04302476001977921,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,10,0.8271569463729859,0.02869589474797249,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,mixup,saga,11,0.8407305574417114,0.06703705778121949,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995
vit_small,nomix,baseline,0,0.7503917438507081,0.30514120326042177,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
