recipe,epoch,iter,layer,grad_phi_norm
mixup,2,300,11,0.0
mixup,2,400,0,0.00031450303504243493
mixup,2,400,1,0.00014095610822550952
mixup,2,400,2,0.00010324141476303339
mixup,2,400,3,3.458411083556712e-05
mixup,2,400,4,8.907301889848895e-06
mixup,2,400,5,5.93656795899733e-06
mixup,2,400,6,2.5340755200886633e-06
mixup,2,400,7,2.3848344881116645e-06
mixup,2,400,8,1.3847595710103633e-06
mixup,2,400,9,1.0475279168531415e-06
mixup,2,400,10,4.54419478046475e-07
mixup,2,400,11,0.0
mixup,2,500,0,0.00033677287865430117
mixup,2,500,1,0.0001942218659678474
mixup,2,500,2,0.00010839050082722679
mixup,2,500,3,3.57652097591199e-05
mixup,2,500,4,1.4387699593498837e-05
mixup,2,500,5,4.158463070780272e-06
mixup,2,500,6,2.3173461158876307e-06
mixup,2,500,7,1.4245003967516823e-06
mixup,2,500,8,9.296400094171986e-07
mixup,2,500,9,7.413925686705625e-07
mixup,2,500,10,4.1734429601092415e-07
mixup,2,500,11,0.0
mixup,2,600,0,0.000308416347252205
mixup,2,600,1,0.0001351901883026585
mixup,2,600,2,8.154556417139247e-05
mixup,2,600,3,2.7385569410398602e-05
mixup,2,600,4,9.425886673852801e-06
mixup,2,600,5,3.314672994747525e-06
mixup,2,600,6,2.418033318463131e-06
mixup,2,600,7,1.8751928791971295e-06
mixup,2,600,8,1.0113918733622995e-06
mixup,2,600,9,4.79505104067357e-07
mixup,2,600,10,3.0335598921737983e-07
mixup,2,600,11,0.0
mixup,2,700,0,0.0003093237173743546
mixup,2,700,1,0.00014390793512575328
mixup,2,700,2,9.989735553972423e-05
mixup,2,700,3,3.9696544263279065e-05
mixup,2,700,4,1.3316734111867845e-05
mixup,2,700,5,4.875662853009999e-06
mixup,2,700,6,3.2429070415673777e-06
mixup,2,700,7,1.4725170558449463e-06
mixup,2,700,8,9.140430847764947e-07
mixup,2,700,9,5.100232556287665e-07
mixup,2,700,10,2.8959115638826916e-07
mixup,2,700,11,0.0
mixup,2,800,0,0.00031559489434584975
mixup,2,800,1,0.00017189348000101745
mixup,2,800,2,9.706697164801881e-05
mixup,2,800,3,4.320646985433996e-05
mixup,2,800,4,1.6426623915322125e-05
mixup,2,800,5,5.572740974457702e-06
mixup,2,800,6,2.761683845164953e-06
mixup,2,800,7,1.7206152733706404e-06
mixup,2,800,8,1.3899242503612186e-06
mixup,2,800,9,1.070508119482838e-06
mixup,2,800,10,2.885760181925434e-07
mixup,2,800,11,0.0
mixup,2,900,0,0.000429467239882797
mixup,2,900,1,0.00021281014778651297
mixup,2,900,2,0.00014604520401917398
mixup,2,900,3,6.06717039772775e-05
mixup,2,900,4,2.4719754947000183e-05
mixup,2,900,5,9.104757737077307e-06
mixup,2,900,6,4.485323188418988e-06
mixup,2,900,7,2.3736149614705937e-06
mixup,2,900,8,1.185149017146614e-06
mixup,2,900,9,8.632179628875747e-07
mixup,2,900,10,4.801241857421701e-07
mixup,2,900,11,0.0
mixup,2,1000,0,0.00037353442166931927
mixup,2,1000,1,0.00022047318634577096
mixup,2,1000,2,0.00011588131019379944
mixup,2,1000,3,5.4067706514615566e-05
mixup,2,1000,4,2.532744656491559e-05
mixup,2,1000,5,7.395572538371198e-06
mixup,2,1000,6,3.6741837448062142e-06
mixup,2,1000,7,1.519108991487883e-06
mixup,2,1000,8,9.515591159470205e-07
mixup,2,1000,9,5.570941539190244e-07
mixup,2,1000,10,3.332063158723031e-07
mixup,2,1000,11,0.0
mixup,2,1100,0,0.00041490269359201193
mixup,2,1100,1,0.00026103577692992985
mixup,2,1100,2,0.00015772951883263886
mixup,2,1100,3,6.749018939444795e-05
mixup,2,1100,4,3.8245838368311524e-05
mixup,2,1100,5,1.3013579518883489e-05
mixup,2,1100,6,6.569658125954447e-06
mixup,2,1100,7,2.9502625693567097e-06
mixup,2,1100,8,1.1969859770033509e-06
mixup,2,1100,9,9.75949888015748e-07
mixup,2,1100,10,5.063454295850534e-07
mixup,2,1100,11,0.0
mixup,2,1200,0,0.00045827028225176036
mixup,2,1200,1,0.00027684067026712
mixup,2,1200,2,0.00016919239715207368
mixup,2,1200,3,7.974068284966052e-05
mixup,2,1200,4,4.4846980017609894e-05
mixup,2,1200,5,1.6571480955462903e-05
mixup,2,1200,6,6.857786502223462e-06
mixup,2,1200,7,2.777045892798924e-06
mixup,2,1200,8,1.515608346380759e-06
mixup,2,1200,9,1.1338055401211022e-06
mixup,2,1200,10,5.633643809233035e-07
mixup,2,1200,11,0.0
mixup,3,0,0,0.0006001889705657959
mixup,3,0,1,0.0003608388942666352
mixup,3,0,2,0.0002183754404541105
mixup,3,0,3,0.00010756788105936721
mixup,3,0,4,6.232310261111706e-05
mixup,3,0,5,2.0953286366420798e-05
mixup,3,0,6,1.0963709428324364e-05
mixup,3,0,7,3.459424988250248e-06
mixup,3,0,8,2.061982286249986e-06
mixup,3,0,9,1.7004894061756204e-06
mixup,3,0,10,8.649993219478347e-07
mixup,3,0,11,0.0
mixup,3,100,0,0.0004794023698195815
mixup,3,100,1,0.000293619028525427
mixup,3,100,2,0.00018507876666262746
mixup,3,100,3,8.487051673000678e-05
mixup,3,100,4,6.319060048554093e-05
mixup,3,100,5,1.8988952433574013e-05
mixup,3,100,6,9.337388291896787e-06
mixup,3,100,7,3.851084329653531e-06
mixup,3,100,8,1.7178260804939782e-06
mixup,3,100,9,1.1786578397732228e-06
mixup,3,100,10,6.068926836633182e-07
mixup,3,100,11,0.0
mixup,3,200,0,0.0002720289339777082
mixup,3,200,1,0.00017598124395590276
mixup,3,200,2,0.00011815274046966806
mixup,3,200,3,5.384533142205328e-05
mixup,3,200,4,3.4466454962966964e-05
mixup,3,200,5,1.1936386727029458e-05
mixup,3,200,6,6.8000590545125306e-06
mixup,3,200,7,1.983445145015139e-06
mixup,3,200,8,1.578397018420219e-06
mixup,3,200,9,5.492171339938068e-07
mixup,3,200,10,3.073240009143774e-07
mixup,3,200,11,0.0
mixup,3,300,0,0.00045768561540171504
mixup,3,300,1,0.00031910493271425366
mixup,3,300,2,0.0002038261154666543
mixup,3,300,3,9.240285726264119e-05
mixup,3,300,4,6.286092684604228e-05
mixup,3,300,5,1.8447537513566203e-05
mixup,3,300,6,9.350577784061898e-06
mixup,3,300,7,3.3257947507081553e-06
mixup,3,300,8,1.6600681647105375e-06
mixup,3,300,9,6.887827339596697e-07
mixup,3,300,10,5.70945815070445e-07
mixup,3,300,11,0.0
mixup,3,400,0,0.0005300409975461662
mixup,3,400,1,0.00034615080221556127
mixup,3,400,2,0.0002018932718783617
mixup,3,400,3,0.00010619131353450939
mixup,3,400,4,7.259246922330931e-05
mixup,3,400,5,2.336568468308542e-05
mixup,3,400,6,1.4352898688230198e-05
mixup,3,400,7,4.540930603980087e-06
mixup,3,400,8,1.5206389889499405e-06
mixup,3,400,9,9.454308838030556e-07
mixup,3,400,10,5.848774549122027e-07
mixup,3,400,11,0.0
mixup,3,500,0,0.000626648950856179
mixup,3,500,1,0.00048313153092749417
mixup,3,500,2,0.0002713233989197761
mixup,3,500,3,0.00013788270007353276
mixup,3,500,4,0.00010243339784210548
mixup,3,500,5,3.659180219983682e-05
mixup,3,500,6,1.981488094315864e-05
mixup,3,500,7,7.644252946192864e-06
mixup,3,500,8,3.5666130315803457e-06
mixup,3,500,9,1.6903320556593826e-06
mixup,3,500,10,8.877418053998554e-07
mixup,3,500,11,0.0
mixup,3,600,0,0.00045241069165058434
mixup,3,600,1,0.0003459180297795683
mixup,3,600,2,0.00019455316942185163
mixup,3,600,3,9.63382626650855e-05
mixup,3,600,4,7.33956549083814e-05
mixup,3,600,5,3.147121606161818e-05
mixup,3,600,6,1.4366828509082552e-05
mixup,3,600,7,5.471500571729848e-06
mixup,3,600,8,2.301100266777212e-06
mixup,3,600,9,1.2667890132433968e-06
mixup,3,600,10,7.672987294427003e-07
mixup,3,600,11,0.0
mixup,3,700,0,0.00041115612839348614
mixup,3,700,1,0.0002878400555346161
mixup,3,700,2,0.00017096661031246185
mixup,3,700,3,8.769406849751249e-05
mixup,3,700,4,6.121015030657873e-05
mixup,3,700,5,2.5021337933139876e-05
mixup,3,700,6,1.2985640751139726e-05
mixup,3,700,7,5.710592176910723e-06
mixup,3,700,8,2.117467374773696e-06
mixup,3,700,9,1.1373639381417888e-06
mixup,3,700,10,6.784130732739868e-07
mixup,3,700,11,0.0
mixup,3,800,0,0.00029418832855299115
mixup,3,800,1,0.0002529065532144159
mixup,3,800,2,0.0001411605189787224
mixup,3,800,3,7.716811524005607e-05
mixup,3,800,4,5.392252205638215e-05
mixup,3,800,5,2.5014498532982543e-05
mixup,3,800,6,1.3331521586223971e-05
mixup,3,800,7,5.75587228013319e-06
mixup,3,800,8,2.363253770454321e-06
mixup,3,800,9,1.2911934845760697e-06
mixup,3,800,10,6.955207254577545e-07
mixup,3,800,11,0.0
mixup,3,900,0,0.0006243555108085275
mixup,3,900,1,0.0004342614847701043
mixup,3,900,2,0.0002662259212229401
mixup,3,900,3,0.00015559690655209124
mixup,3,900,4,0.00011669256491586566
mixup,3,900,5,5.27621632500086e-05
mixup,3,900,6,2.782487717922777e-05
mixup,3,900,7,1.2698235877905972e-05
mixup,3,900,8,4.526248631009366e-06
mixup,3,900,9,2.146738552255556e-06
mixup,3,900,10,1.2603354662132915e-06
mixup,3,900,11,0.0
mixup,3,1000,0,0.0005092202918604016
mixup,3,1000,1,0.0004256882530171424
mixup,3,1000,2,0.0002587626513559371
mixup,3,1000,3,0.00014525528240483254
mixup,3,1000,4,0.00010164148989133537
mixup,3,1000,5,4.663175786845386e-05
mixup,3,1000,6,2.9898626962676644e-05
mixup,3,1000,7,1.2098209481337108e-05
mixup,3,1000,8,5.832812348671723e-06
mixup,3,1000,9,2.4929552182584302e-06
mixup,3,1000,10,1.6108494946820429e-06
mixup,3,1000,11,0.0
mixup,3,1100,0,0.0005316726164892316
mixup,3,1100,1,0.0004924327949993312
mixup,3,1100,2,0.00027518594288267195
mixup,3,1100,3,0.00015868552145548165
mixup,3,1100,4,0.00012868245539721102
mixup,3,1100,5,5.455991777125746e-05
mixup,3,1100,6,3.305530844954774e-05
mixup,3,1100,7,1.846474697231315e-05
mixup,3,1100,8,5.85990164836403e-06
mixup,3,1100,9,2.5277386157540604e-06
mixup,3,1100,10,1.5093798992893426e-06
mixup,3,1100,11,0.0
mixup,3,1200,0,0.00044722025631926954
mixup,3,1200,1,0.000382734666345641
mixup,3,1200,2,0.00021827741875313222
mixup,3,1200,3,0.00013055141607765108
mixup,3,1200,4,0.00010850538819795474
mixup,3,1200,5,4.868623364018276e-05
mixup,3,1200,6,3.275326525908895e-05
mixup,3,1200,7,1.6722666259738617e-05
mixup,3,1200,8,6.565518560819328e-06
mixup,3,1200,9,2.9092420845699962e-06
mixup,3,1200,10,1.9437557057244703e-06
mixup,3,1200,11,0.0
mixup,4,0,0,0.0005647121579386294
mixup,4,0,1,0.00046143922372721136
mixup,4,0,2,0.0002578857820481062
mixup,4,0,3,0.00015170032565947622
mixup,4,0,4,0.00012668153794948012
mixup,4,0,5,5.665428761858493e-05
mixup,4,0,6,3.1060513720149174e-05
mixup,4,0,7,1.723312379908748e-05
mixup,4,0,8,7.323651516344398e-06
mixup,4,0,9,3.6340434235171415e-06
mixup,4,0,10,2.5103722691710573e-06
mixup,4,0,11,0.0
mixup,4,100,0,0.0007726282346993685
mixup,4,100,1,0.0006532768020406365
mixup,4,100,2,0.0003567076928447932
mixup,4,100,3,0.00020498539379332215
mixup,4,100,4,0.00017210539954248816
mixup,4,100,5,7.581057434435934e-05
mixup,4,100,6,4.8361445806222036e-05
mixup,4,100,7,2.647975634317845e-05
mixup,4,100,8,1.1065862054238096e-05
mixup,4,100,9,5.120671175973257e-06
mixup,4,100,10,3.955513875553152e-06
mixup,4,100,11,0.0
mixup,4,200,0,0.000624707667157054
mixup,4,200,1,0.0006145662628114223
mixup,4,200,2,0.00032207436743192375
mixup,4,200,3,0.00018812355119735003
mixup,4,200,4,0.00014958008250687271
mixup,4,200,5,7.839613681426272e-05
mixup,4,200,6,4.95735730510205e-05
mixup,4,200,7,2.7297721317154355e-05
mixup,4,200,8,1.1786905815824866e-05
mixup,4,200,9,5.685835276381113e-06
mixup,4,200,10,3.6664603157987585e-06
mixup,4,200,11,0.0
mixup,4,300,0,0.0006874173996038735
mixup,4,300,1,0.0005883355042897165
mixup,4,300,2,0.00032204558374360204
mixup,4,300,3,0.00018090193043462932
mixup,4,300,4,0.00015796403749845922
mixup,4,300,5,7.400786853395402e-05
mixup,4,300,6,4.9972593842539936e-05
mixup,4,300,7,2.3069782400853e-05
mixup,4,300,8,1.02635476650903e-05
